7.65,10.20
6.38,11.48
7.65,11.48
6.80,10.63
7.23,13.18
6.38,14.88
5.95,10.20
5.95,8.08
5.95,11.90
6.38,9.78
6.38,11.48
5.95,8.50
6.38,9.35
5.95,7.65
9.35,8.50
7.65,13.18
8.93,13.60
8.93,13.18
4.25,13.60
4.25,10.20
4.68,11.05
3.83,12.33
11.90,10.20
10.63,10.20
8.08,14.03
6.80,14.03
7.23,13.60
8.08,11.90
7.65,8.08
5.95,13.60
5.95,14.45
5.95,11.05
5.95,12.75
5.10,9.35
5.53,9.35
5.53,14.03
7.65,16.58
9.35,15.30
8.08,11.90
7.65,11.48
9.78,8.93
11.05,10.20
10.63,12.75
8.50,14.45
8.93,13.60
5.53,16.15
5.95,15.73
6.38,12.75
5.95,13.18
7.23,15.73
4.68,13.60
5.53,19.98
5.10,17.43
5.53,19.13
6.38,14.45
5.53,14.03
5.53,10.20
5.95,13.60
9.35,16.58
11.90,14.88
5.53,13.60
5.95,15.73
5.53,16.15
5.95,14.45
6.38,14.45
5.10,13.60
5.53,14.03
5.53,13.60
5.95,10.63
5.53,10.20
5.10,15.73
5.53,13.18
7.65,15.30
6.80,15.30
7.65,14.45
7.65,16.15
9.78,13.60
4.68,16.15
5.10,13.60
